judul,isi_laporan,info,link,clean_text,judul_clean,final_text,label,low,med,high
Kartu Tanda Penduduk,Assalamualaikum. maaf mau nanya apakah webnya sedang error atau gmna. soalnya saya buat ktp online sampai skrg blm ada kabar apapun. makasii sebelumnya,"  JUMAT, 2023/05/19 |   KTP (KARTU TANDA PENDUDUK) |   LAPORAN 8 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/kartu-tanda-penduduk-202306081505321686211532788,assalamualaikum maaf mau nanya apakah webnya sedang error atau gmna soalnya saya buat ktp online sampai sekarang belum ada kabar apapun makasii sebelumnya,kartu tanda penduduk,kartu tanda penduduk assalamualaikum maaf mau nanya apakah webnya sedang error atau gmna soalnya saya buat ktp online sampai sekarang belum ada kabar apapun makasii sebelumnya,LOW,,,
Laporan Untuk Dlhk,"Saya tinggal di area cipada, tepatnya sebrang parkiran rsud cipada. saya simpan sampah didepan rumah seperti biasa pada hari senin pukul 05.30, lalu sampai sekarang hari selasa malem sampah saya gada yg angkut, padahal petugas ada 2x balikan ke area tersebut. al hasil sampah saya jadi berantakan entah sama kucing/pemulung. lalu didepan pager saya sering banyak orang yang buang sampah sembarangan, tetapi setiap pagi tidak pernah di bersihkan sama petugas kebersihan, tetangga saya malah sampe harus ngasih uang agar area depan rumahnya di bersihkan oleh petugas. itu kan sudah pungli, sedangkan kita setiap bulan bayar iuran. padahal yang tinggal di area jalur tengah selalu dibersihkan, sampe trotoar pun di bersihkan setiap pagi. kenapa yang area belakang tidak di bersihkan juga? gak adil dong pak!","  SELASA, 2024/08/20 |   PENCEMARAN LINGKUNGAN |   LAPORAN 4 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/laporan-untuk-dlhk-202408202150461724165446626,saya tinggal di area cipada tepatnya sebrang parkiran rsud cipada saya simpan sampah didepan rumah seperti biasa pada hari senin pukul lalu sampai sekarang hari selasa malem sampah saya gada yang angkut padahal petugas ada x balikan ke area tersebut al hasil sampah saya jadi berantakan entah sama kucing pemulung lalu didepan pager saya sering banyak orang yang buang sampah sembarangan tetapi setiap pagi tidak pernah di bersihkan sama petugas kebersihan tetangga saya malah sampe harus ngasih uang agar area depan rumahnya di bersihkan oleh petugas itu kan sudah pungli sedangkan kita setiap bulan bayar iuran padahal yang tinggal di area jalur tengah selalu dibersihkan sampe trotoar pun di bersihkan setiap pagi kenapa yang area belakang tidak di bersihkan juga gak adil dong bapak,laporan untuk dlhk,laporan untuk dlhk saya tinggal di area cipada tepatnya sebrang parkiran rsud cipada saya simpan sampah didepan rumah seperti biasa pada hari senin pukul lalu sampai sekarang hari selasa malem sampah saya gada yang angkut padahal petugas ada x balikan ke area tersebut al hasil sampah saya jadi berantakan entah sama kucing pemulung lalu didepan pager saya sering banyak orang yang buang sampah sembarangan tetapi setiap pagi tidak pernah di bersihkan sama petugas kebersihan tetangga saya malah sampe harus ngasih uang agar area depan rumahnya di bersihkan oleh petugas itu kan sudah pungli sedangkan kita setiap bulan bayar iuran padahal yang tinggal di area jalur tengah selalu dibersihkan sampe trotoar pun di bersihkan setiap pagi kenapa yang area belakang tidak di bersihkan juga gak adil dong bapak,MEDIUM,,,
Jalan Rusak Di Daerah Blok Sabeulit Dusun Cibubut Desa Jayamekar Kecamatan Cibugel,"Jalan penghubung antara Dusun Cibubut Kecamatan Cibugel dan Cisoka Sumedang utara yang baru baru kemarin diperbaiki sekarang kondisinya sudah rusaka terkikis air hujan ,, aspalny sudah habis terutama di daerah Blok sabeulit Desa Jayamekar Cibugel.... Sayang sekali padahal itu akses penghubung tercepat dari cibugel ke sumedang ,, mohon bantuan perhatiannya pak / bu",INFRASTRUKTUR |   LAPORAN 10 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/jalan-rusak-di-daerah-blok-sabeulit-dusun-cibubut-desa-jayamekar-kecamatan-cibugel-202511201011421763608302243,jalan penghubung antara dusun cibubut kecamatan cibugel dan cisoka sumedang utara yang baru baru kemarin diperbaiki sekarang kondisinya sudah rusaka terkikis air hujan aspalny sudah habis terutama di daerah blok sabeulit desa jayamekar cibugel sayang sekali padahal itu akses penghubung tercepat dari cibugel ke sumedang mohon bantuan perhatiannya bapak ibu,jalan rusak di daerah blok sabeulit dusun cibubut desa jayamekar kecamatan cibugel,jalan rusak di daerah blok sabeulit dusun cibubut desa jayamekar kecamatan cibugel jalan penghubung antara dusun cibubut kecamatan cibugel dan cisoka sumedang utara yang baru baru kemarin diperbaiki sekarang kondisinya sudah rusaka terkikis air hujan aspalny sudah habis terutama di daerah blok sabeulit desa jayamekar cibugel sayang sekali padahal itu akses penghubung tercepat dari cibugel ke sumedang mohon bantuan perhatiannya bapak ibu,MEDIUM,,,
!Darurat!! Permintaan Fogging Nyamuk Dbd,"Sehubungan meningkatnya kasus dbd di daerah saya yaitu di jatimulya, tepatnya perum asabri sindangtamansadi rt01/05 . sudah ada banyak kasus (darurat dbd) termasuk anak saya juga masuk rs 7 mei - 13 mei sampe masuk hcu juga.

saya sudah lapor rt setempat untuk melakukan fogging nyamuk dbd tapi tidak ada tindakan.

dengan ini saya sampaikan untuk segera mengabulkan permintaan fogging nyamuk dbd.

darurat dbd",LAINNYA TERKAIT KESEHATAN |   LAPORAN 16 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/-darurat-permintaan-fogging-nyamuk-dbd-202405250942311716604951161,sehubungan meningkatnya kasus dbd di daerah saya yaitu di jatimulya tepatnya perum asabri sindangtamansadi rt sudah ada banyak kasus darurat dbd termasuk anak saya juga masuk rs mei mei sampe masuk hcu juga saya sudah lapor rukun tetangga setempat untuk melakukan fogging nyamuk dbd tapi tidak ada tindakan dengan ini saya sampaikan untuk segera mengabulkan permintaan fogging nyamuk dbd darurat dbd,darurat permintaan fogging nyamuk dbd,darurat permintaan fogging nyamuk dbd sehubungan meningkatnya kasus dbd di daerah saya yaitu di jatimulya tepatnya perum asabri sindangtamansadi rt sudah ada banyak kasus darurat dbd termasuk anak saya juga masuk rs mei mei sampe masuk hcu juga saya sudah lapor rukun tetangga setempat untuk melakukan fogging nyamuk dbd tapi tidak ada tindakan dengan ini saya sampaikan untuk segera mengabulkan permintaan fogging nyamuk dbd darurat dbd,HIGH,,,
Beli Buku Lks,"Tolong pak dedi, SDN di Sumedang masih jual buku LKS. Terima kasih untuk segera di tanggapi
lokasi kejadian Kabupaten Sumedang Tanjungmedar Wargaluyu SDN Wargaluyu
aduan ini menjadi kewenangan Pemkab Sumedang","  SELASA, 2025/07/29 |   LAINNYA TERKAIT PENDIDIKAN DAN KEBUDAYAAN |   LAPORAN 20 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/beli-buku-lks-202508131131551755059515001,tolong bapak dedi sdn di sumedang masih jual buku lks untuk segera di tanggapi lokasi kejadian kabupaten sumedang tanjungmedar wargaluyu sdn wargaluyu aduan ini menjadi kewenangan pemkab sumedang,beli buku lks,beli buku lks tolong bapak dedi sdn di sumedang masih jual buku lks untuk segera di tanggapi lokasi kejadian kabupaten sumedang tanjungmedar wargaluyu sdn wargaluyu aduan ini menjadi kewenangan pemkab sumedang,MEDIUM,,,
Penyimpangan,Saya ingin melaporkan bahwa d SMPN 1 Darmaraja Kabupaten Sumedang Jawa Barat ada kegiatan oknum guru olagraga yang tiap bulannya mengagendakan kegiatan renang.. saya selaku orang tua murid merasa keberatan akan adanya kegiatan setiap satu (1) bulan sekali... karna oknum guru ini telah menfaatkan kegiatan tersebut dengan mengambil keuntung persiswanya...Mohon bapak/ibu menanggapi laporan saya...,"  SABTU, 2023/12/16 |   LAINNYA TERKAIT PENDIDIKAN DAN KEBUDAYAAN |   LAPORAN 9 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/penyimpabgan-202312160759331702688373645,saya ingin melaporkan bahwa d smpn darmaraja kabupaten sumedang jawa barat ada kegiatan oknum guru olagraga yang tiap bulannya mengagendakan kegiatan renang saya selaku orang tua murid merasa keberatan akan adanya kegiatan setiap satu bulan sekali karna oknum guru ini telah menfaatkan kegiatan tersebut dengan mengambil keuntung persiswanya mohon bapak ibu menanggapi laporan saya,penyimpangan,penyimpangan saya ingin melaporkan bahwa d smpn darmaraja kabupaten sumedang jawa barat ada kegiatan oknum guru olagraga yang tiap bulannya mengagendakan kegiatan renang saya selaku orang tua murid merasa keberatan akan adanya kegiatan setiap satu bulan sekali karna oknum guru ini telah menfaatkan kegiatan tersebut dengan mengambil keuntung persiswanya mohon bapak ibu menanggapi laporan saya,LOW,,,
Sppt Pajak Bumi Dan Bangunan,"Tagihan sppt pajak bumi dan bangunan saya tidak d bayarkan oleh pegawai desa selama 3 tahun yaitu tahun 2020,2022 dan 2023 , pada tanggal 5 mei saya sudah menanyakan ke pihak desa dan ngobrol langsung dengan kepala desa nya menanyakan perihal ini akan tetapi kata kepala desa nya angkat tangan dikarenakan pegawai tersebut sudah tidak lagi bekerja,mohon solusinya atas kerugian saya tersebut.lokasi berada di kantor desa mekargalih kecamatan jatinangor kabupaten sumedang
terimakasih","  SENIN, 2025/05/05 |   LAINNYA TERKAIT PAJAK |   LAPORAN 25 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/sppt-pajak-bumi-dan-bangunan-202506121904271749729867641,tagihan sppt pajak bumi dan bangunan saya tidak d bayarkan oleh pegawai desa selama tahun yaitu tahun dan pada tanggal mei saya sudah menanyakan ke pihak desa dan ngobrol langsung dengan kepala desa nya menanyakan perihal ini akan tetapi kata kepala desa nya angkat tangan dikarenakan pegawai tersebut sudah tidak lagi bekerja mohon solusinya atas kerugian saya tersebut lokasi berada di kantor desa mekargalih kecamatan jatinangor kabupaten sumedang terimakasih,sppt pajak bumi dan bangunan,sppt pajak bumi dan bangunan tagihan sppt pajak bumi dan bangunan saya tidak d bayarkan oleh pegawai desa selama tahun yaitu tahun dan pada tanggal mei saya sudah menanyakan ke pihak desa dan ngobrol langsung dengan kepala desa nya menanyakan perihal ini akan tetapi kata kepala desa nya angkat tangan dikarenakan pegawai tersebut sudah tidak lagi bekerja mohon solusinya atas kerugian saya tersebut lokasi berada di kantor desa mekargalih kecamatan jatinangor kabupaten sumedang terimakasih,MEDIUM,,,
Permintaan Perbaikan Jalan,"Disini saya sebagai salah satu warga lokal ingin menyampaikan bahwa di desa kami terdapat jalan umum yang sudah lebih dari 20 tahun tidak pernah di perbaiki , jalan nya licin karna tanah merah dan bebatuan dan sering memakan korban, kami mohon perbaikan di jalan kami di segerakan karena kami membayar pajak.
alamat : jln. cileutik , desa gunung manik, kec. tanjungsari, kab.sumedang, jawa barat","  KAMIS, 2023/03/02 |   LAINNYA TERKAIT PEMBANGUNAN DESA, DAERAH TERTINGGAL, DAN TRANSMIGRASI |   LAPORAN 4 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/permintaan-perbaikan-jalan-202303021301431677736903712,disini saya sebagai salah satu warga lokal ingin menyampaikan bahwa di desa kami terdapat jalan umum yang sudah lebih dari tahun tidak pernah di perbaiki jalan nya licin karna tanah merah dan bebatuan dan sering memakan korban kami mohon perbaikan di jalan kami di segerakan karena kami membayar pajak alamat jalan cileutik desa gunung manik kec tanjungsari kab sumedang jawa barat,permintaan perbaikan jalan,permintaan perbaikan jalan disini saya sebagai salah satu warga lokal ingin menyampaikan bahwa di desa kami terdapat jalan umum yang sudah lebih dari tahun tidak pernah di perbaiki jalan nya licin karna tanah merah dan bebatuan dan sering memakan korban kami mohon perbaikan di jalan kami di segerakan karena kami membayar pajak alamat jalan cileutik desa gunung manik kec tanjungsari kab sumedang jawa barat,MEDIUM,,,
Pembayaran Pbb,"Mau menanyakan untuk nop 32.13.010.010.005.1538.0 & 32.13.010.010.005.1329.0 blm muncul di riwayat pembayaran, pdhal sudah dibayarkan pada tgl 24 september 2022, mohon penjelasannya, terimakasih.
*bukti pembayaran terlampir","  JUMAT, 2022/12/09 |   LAINNYA TERKAIT PAJAK |   LAPORAN 14 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pembayaran-pbb-22,mau menanyakan untuk nop belum muncul di riwayat pembayaran pdhal sudah dibayarkan pada tgl september mohon penjelasannya terimakasih bukti pembayaran terlampir,pembayaran pbb,pembayaran pbb mau menanyakan untuk nop belum muncul di riwayat pembayaran pdhal sudah dibayarkan pada tgl september mohon penjelasannya terimakasih bukti pembayaran terlampir,MEDIUM,,,
Bantuan warga kurang mampu dan mengalami sakit,Permohonan bantuan untuk warga kurang mampu di Dusun Cipari Desa Persiapan Pasirpadang serta mengalami sakit,,https://www.lapor.go.id/laporan/detil/bantuan-warga-kurang-mampu-dan-mengalami-sakit-202510311241151761889275663,permohonan bantuan untuk warga kurang mampu di dusun cipari desa persiapan pasirpadang serta mengalami sakit,bantuan warga kurang mampu dan mengalami sakit,bantuan warga kurang mampu dan mengalami sakit permohonan bantuan untuk warga kurang mampu di dusun cipari desa persiapan pasirpadang serta mengalami sakit,HIGH,,,
Mohon Segera Di Selesaikan Pelebaran Jalan Jatinunggal Sumedang,"Dikarenakan banyak aktivitas masyarakat yang terganggu selama 1 bulan lebih dan membahayakan pengguna jalan. mohon agar proyek pelebaran jalan di jatinunggal segera di selesaikan secepatnya.
1. kami mohon segera di selesaikan dan di percepat. karena mobil tidak bisa masuk garasi. dan membahayakan pengguna jalan.
2. tolong perbaiki tembok jalan warga yang di rusak oleh beko.
kami mohon perhatian nya dan di perhatikan
lokasi : blok jatinunggal dekat polsek kebawah",INFRASTRUKTUR JALAN |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/mohon-segera-di-selesaikan-pelebaran-jalan-jatinunggal-sumedang-202409140823471726277027910,dikarenakan banyak aktivitas masyarakat yang terganggu selama bulan lebih dan membahayakan pengguna jalan mohon agar proyek pelebaran jalan di jatinunggal segera di selesaikan secepatnya kami mohon segera di selesaikan dan di percepat karena mobil tidak bisa masuk garasi dan membahayakan pengguna jalan tolong perbaiki tembok jalan warga yang di rusak oleh beko kami mohon perhatian nya dan di perhatikan lokasi blok jatinunggal dekat polsek kebawah,mohon segera di selesaikan pelebaran jalan jatinunggal sumedang,mohon segera di selesaikan pelebaran jalan jatinunggal sumedang dikarenakan banyak aktivitas masyarakat yang terganggu selama bulan lebih dan membahayakan pengguna jalan mohon agar proyek pelebaran jalan di jatinunggal segera di selesaikan secepatnya kami mohon segera di selesaikan dan di percepat karena mobil tidak bisa masuk garasi dan membahayakan pengguna jalan tolong perbaiki tembok jalan warga yang di rusak oleh beko kami mohon perhatian nya dan di perhatikan lokasi blok jatinunggal dekat polsek kebawah,MEDIUM,,,
Jalan Berlubang,"""Tolong ini banyak jalan berlubang di sepanjang jalan Kolonel Ahmad Syam, atau yang biasa di sebut jalan sayang di daerah Jatinangor, Kabupaten Sumedang. Padahal jalan ini banyak dilalui mahasiswa dan anak sekolah. Sering terjadi kecelakaan tunggal karena jalan rusak. Dan sebentar lagi biasanya jalan ini suka di pake jalur alternatif arus mudik. Jadi tolong bapak/ ibu bisa tindak lanjuti aduan ini, karena menyangkut keselamatan nyawa di jalanan. Hatur nuhun ""Lokasi Kejadian [KABUPATEN SUMEDANG] | [JATINANGOR] | [CIKERUH] | [di sepanjang jalur jalan sayang atau jalan Kolonel Ahmad Syam, sampai batas jalan dangdeur rancaekek] Aduan ini menjadi kewenangan Pemerintah Daerah Kab. Sumedang","  RABU, 2024/03/20 |   INFRASTRUKTUR JALAN |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/jalan-berlubang-202403210949411710989381597,tolong ini banyak jalan berlubang di sepanjang jalan kolonel ahmad syam atau yang biasa di sebut jalan sayang di daerah jatinangor kabupaten sumedang padahal jalan ini banyak dilalui mahasiswa dan anak sekolah sering terjadi kecelakaan tunggal karena jalan rusak dan sebentar lagi biasanya jalan ini suka di pake jalur alternatif arus mudik jadi tolong bapak ibu bisa tindak lanjuti aduan ini karena menyangkut keselamatan nyawa di jalanan hatur nuhun lokasi kejadian kabupaten sumedang jatinangor cikeruh di sepanjang jalur jalan sayang atau jalan kolonel ahmad syam sampai batas jalan dangdeur rancaekek aduan ini menjadi kewenangan pemerintah daerah kab sumedang,jalan berlubang,jalan berlubang tolong ini banyak jalan berlubang di sepanjang jalan kolonel ahmad syam atau yang biasa di sebut jalan sayang di daerah jatinangor kabupaten sumedang padahal jalan ini banyak dilalui mahasiswa dan anak sekolah sering terjadi kecelakaan tunggal karena jalan rusak dan sebentar lagi biasanya jalan ini suka di pake jalur alternatif arus mudik jadi tolong bapak ibu bisa tindak lanjuti aduan ini karena menyangkut keselamatan nyawa di jalanan hatur nuhun lokasi kejadian kabupaten sumedang jatinangor cikeruh di sepanjang jalur jalan sayang atau jalan kolonel ahmad syam sampai batas jalan dangdeur rancaekek aduan ini menjadi kewenangan pemerintah daerah kab sumedang,MEDIUM,,,
Pertanyaan Pembuatan Ktp Online,"Saya mau buat ktp baru tapi layanan sedang tidak tersedia di silasidakep, kira-kira kapan layanan bisa digunakan?",ADMINISTRASI KEPENDUDUKAN DAN PENCATATAN SIPIL |   LAPORAN 4 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/pertanyaan-pembuatan-ktp-online-202308011357401690873060257,saya mau buat ktp baru tapi layanan sedang tidak tersedia di silasidakep kira kira kapan layanan bisa digunakan,pertanyaan pembuatan ktp online,pertanyaan pembuatan ktp online saya mau buat ktp baru tapi layanan sedang tidak tersedia di silasidakep kira kira kapan layanan bisa digunakan,LOW,,,
Jalan Rusak Parah,"Tolong sampai kan kepada pak dedi dan pak dony bupati sumedang ini jalan sudah bertahun² tidak kunjung diperbaiki padahal beliau sudah 2 periode, kondisi jalan full bebatuan sudah tidak seperti jalan lagi, minimal dibeton lagi, padahal ini jalan alternatif buahdua-indramayu

loakasi kejadian kabupaten sumedang buahdua ciawitali jl.buahdua sanca indramayu
aduan ini menjadi kewenangan pemda kabupaten sumedang",INFRASTRUKTUR JALAN |   LAPORAN 6 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/jalan-rusak-parah-202504132323511744561431739,tolong sampai kan kepada bapak dedi dan bapak dony bupati sumedang ini jalan sudah bertahun² tidak kunjung diperbaiki padahal beliau sudah periode kondisi jalan full bebatuan sudah tidak seperti jalan lagi minimal dibeton lagi padahal ini jalan alternatif buahdua indramayu loakasi kejadian kabupaten sumedang buahdua ciawitali jalan buahdua sanca indramayu aduan ini menjadi kewenangan pemda kabupaten sumedang,jalan rusak parah,jalan rusak parah tolong sampai kan kepada bapak dedi dan bapak dony bupati sumedang ini jalan sudah bertahun² tidak kunjung diperbaiki padahal beliau sudah periode kondisi jalan full bebatuan sudah tidak seperti jalan lagi minimal dibeton lagi padahal ini jalan alternatif buahdua indramayu loakasi kejadian kabupaten sumedang buahdua ciawitali jalan buahdua sanca indramayu aduan ini menjadi kewenangan pemda kabupaten sumedang,MEDIUM,,,
Permohonan Informasi terkait ISU Strategis RPJMD,"Assalamualaikum,Selamat pagi, izin bapak/ibu admin . Saya dari bappeda kabupaten garut mau menanyakan terkait Isu strategis dalam Ranperda RPJMD Kabupaten sumedang, barangkali dapat di share? Untuk kepentingan dalam dokumen RPJMD kami dalam hal telaah terhadap isu strategis Daerah berbatasan , hatur nuhun sebelumnya",,https://www.lapor.go.id/laporan/detil/permohonan-informasi-terkait-isu-strategis-rpjmd-202509121040181757648418126,assalamualaikum selamat pagi izin bapak ibu admin saya dari bappeda kabupaten garut mau menanyakan terkait isu strategis dalam ranperda rpjmd kabupaten sumedang barangkali dapat di share untuk kepentingan dalam dokumen rpjmd kami dalam hal telaah terhadap isu strategis daerah berbatasan hatur nuhun sebelumnya,permohonan informasi terkait isu strategis rpjmd,permohonan informasi terkait isu strategis rpjmd assalamualaikum selamat pagi izin bapak ibu admin saya dari bappeda kabupaten garut mau menanyakan terkait isu strategis dalam ranperda rpjmd kabupaten sumedang barangkali dapat di share untuk kepentingan dalam dokumen rpjmd kami dalam hal telaah terhadap isu strategis daerah berbatasan hatur nuhun sebelumnya,LOW,,,
Phk Sepihak Tanpa Penyelsaian Administrasi,"""Nama Ade Nuryaya Alamat Sumedang, diminta mengundurkan diri oleh PT.Mandiri Insan Usaha (Vendor PT.PLN Sumedang) di Bidang Billing dan Penagihan, saya langsung diganti personil dengan Hak pekerja sebagaimana diatur Perundang Undangan tidak di berikan dan atau di gelapkan pihak perusahaan termasuk keanggotaan BPJS yang tak dinonaktifkan, terimakasih.

""Lokasi Kejadian KABUPATEN SUMEDANG| SUMEDANG UTARA| MEKARJAYA|","  RABU, 2025/03/05 |   HAK PEKERJA |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/phk-sepihak-tanpa-penyelsaian-administrasi-202503121017351741749455084,nama ade nuryaya alamat sumedang diminta mengundurkan diri oleh pt mandiri insan usaha vendor pt pln sumedang di bidang billing dan penagihan saya langsung diganti personil dengan hak pekerja sebagaimana diatur perundang undangan tidak di berikan dan atau di gelapkan pihak perusahaan termasuk keanggotaan bpjs yang tak dinonaktifkan terimakasih lokasi kejadian kabupaten sumedang sumedang utara mekarjaya,phk sepihak tanpa penyelsaian administrasi,phk sepihak tanpa penyelsaian administrasi nama ade nuryaya alamat sumedang diminta mengundurkan diri oleh pt mandiri insan usaha vendor pt pln sumedang di bidang billing dan penagihan saya langsung diganti personil dengan hak pekerja sebagaimana diatur perundang undangan tidak di berikan dan atau di gelapkan pihak perusahaan termasuk keanggotaan bpjs yang tak dinonaktifkan terimakasih lokasi kejadian kabupaten sumedang sumedang utara mekarjaya,MEDIUM,,,
Ijin Wawancara Penelitian,"Halo, selamat sore, abang/kakak. Saya Vallen merupakan salah satu mahasiswa Sekolah Tinggi Hukum Bandung ingin melakukan suatu wawancara untuk penelitian kami mengenai kebijakan food estate. Apakah kami bisa melakukan wawancara dan bagaimana prosedurnya?",,https://www.lapor.go.id/laporan/detil/ijin-wawancara-penelitian-202509121037371757648257809,halo selamat sore abang kakak saya vallen merupakan salah satu mahasiswa sekolah tinggi hukum bandung ingin melakukan suatu wawancara untuk penelitian kami mengenai kebijakan food estate apakah kami bisa melakukan wawancara dan bagaimana prosedurnya,ijin wawancara penelitian,ijin wawancara penelitian halo selamat sore abang kakak saya vallen merupakan salah satu mahasiswa sekolah tinggi hukum bandung ingin melakukan suatu wawancara untuk penelitian kami mengenai kebijakan food estate apakah kami bisa melakukan wawancara dan bagaimana prosedurnya,LOW,,,
Pju Mati,Pju mati sudah lama,PENERANGAN JALAN |   LAPORAN 6 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/pju-mati-202308270611181693091478044,pju mati sudah lama,pju mati,pju mati pju mati sudah lama,MEDIUM,,,
Pju (Penerangan Jalan Umum) Mati 10 Titik,"Assalamu'alaikum.
saya mau melaporkan bahwa lampu pju yang ada di sepanjang jalan desa cilembu - lebak jawa kembali mati. dulu saya juga melaporkan kejadian ini tahun 2023 bulan juni. dan hanya menyala beberapa bulan. dan di tahun 2024 ini lampu pju kembali mati 10 titik. perkiraan mati lampu pju ini kisaran dari bulan febrari 2024. mohon segera diperbaiki dan saya mohon juga pengerjaannya dengan onderdil yang bagus. biar kedepannya tidak ada lagi lampu pju yang mati. mohon segera di tindak lanjuti!!
ini saya cantukan salah satu titik koordinat pju yang mati -6°54’22,824”s 107°50’47,076”e
sisanya saya sertakan di lampiran.",SP4N-LAPOR! |   LAPORAN 3 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/pju-penerangan-jalan-umum-mati-10-titik-202405280911161716862276385,assalamu alaikum saya mau melaporkan bahwa lampu pju yang ada di sepanjang jalan desa cilembu lebak jawa kembali mati dulu saya juga melaporkan kejadian ini tahun bulan juni dan hanya menyala beberapa bulan dan di tahun ini lampu pju kembali mati titik perkiraan mati lampu pju ini kisaran dari bulan febrari mohon segera diperbaiki dan saya mohon juga pengerjaannya dengan onderdil yang bagus biar kedepannya tidak ada lagi lampu pju yang mati mohon segera di tindak lanjuti ini saya cantukan salah satu titik koordinat pju yang mati s e sisanya saya sertakan di lampiran,pju penerangan jalan umum mati titik,pju penerangan jalan umum mati titik assalamu alaikum saya mau melaporkan bahwa lampu pju yang ada di sepanjang jalan desa cilembu lebak jawa kembali mati dulu saya juga melaporkan kejadian ini tahun bulan juni dan hanya menyala beberapa bulan dan di tahun ini lampu pju kembali mati titik perkiraan mati lampu pju ini kisaran dari bulan febrari mohon segera diperbaiki dan saya mohon juga pengerjaannya dengan onderdil yang bagus biar kedepannya tidak ada lagi lampu pju yang mati mohon segera di tindak lanjuti ini saya cantukan salah satu titik koordinat pju yang mati s e sisanya saya sertakan di lampiran,MEDIUM,,,
Konsultasi Layanan Pengajuan Ijin Penelitian,"Pengguna melakukan konsultasi terkait SOP layanan pengajuan penelitian secara daring/digital. Namun dikarenakan dasar penelitian pengguna untuk tugas akhir, maka pengajuan penelitian tidak perlu dilakukan. Hal tersebut berdasarkan permendagri no 03 tahun 2018 pasal 5 ayat 1 untuk penelitian tugas akhi dari kampus dalam negeri tidak perlu membuat ijin surat rekomendasi penelitian.",,https://www.lapor.go.id/laporan/detil/konsultasi-layanan-pengajuan-ijin-penelitian-202508291043281756439008970,pengguna melakukan konsultasi terkait sop layanan pengajuan penelitian secara daring digital namun dikarenakan dasar penelitian pengguna untuk tugas akhir maka pengajuan penelitian tidak perlu dilakukan hal tersebut berdasarkan permendagri no tahun pasal ayat untuk penelitian tugas akhi dari kampus dalam negeri tidak perlu membuat ijin surat rekomendasi penelitian,konsultasi layanan pengajuan ijin penelitian,konsultasi layanan pengajuan ijin penelitian pengguna melakukan konsultasi terkait sop layanan pengajuan penelitian secara daring digital namun dikarenakan dasar penelitian pengguna untuk tugas akhir maka pengajuan penelitian tidak perlu dilakukan hal tersebut berdasarkan permendagri no tahun pasal ayat untuk penelitian tugas akhi dari kampus dalam negeri tidak perlu membuat ijin surat rekomendasi penelitian,LOW,,,
Pengaduan Kesehatan Hewan Ternak,Simpati Selamat malam ka mohon maaf sbelumnya malem malem nge WA Saya agum gumelar dari kecamatan wado ingin bertanya terkait vaksinasi PMK pada ternak itu prosedur nya harus lapor kemana dulu ya?,,https://www.lapor.go.id/laporan/detil/pengaduan-kesehatan-hewan-ternak-202508281624411756373081101,simpati selamat malam ka mohon maaf sbelumnya malem malem nge wa saya agum gumelar dari kecamatan wado ingin bertanya terkait vaksinasi pmk pada ternak itu prosedur nya harus lapor kemana dulu ya,pengaduan kesehatan hewan ternak,pengaduan kesehatan hewan ternak simpati selamat malam ka mohon maaf sbelumnya malem malem nge wa saya agum gumelar dari kecamatan wado ingin bertanya terkait vaksinasi pmk pada ternak itu prosedur nya harus lapor kemana dulu ya,LOW,,,
